Cell Index,Internal Resistance
1,0.03521973316480405
2,0.02734941000556283
3,0.036600300191209814
4,0.04024891517695829
5,0.03417639048144623
6,0.02917667250544979
7,0.026623474706043346
8,0.03065162430113343
9,0.0316860057314671
10,0.02933631499845227
11,0.033334230641228535
12,0.032121525795440795
13,0.026865554241487868
14,0.033187318570819135
15,0.035237727534787974
16,0.02865679622392404
17,0.03258798194305662
18,0.033665308317023315
19,0.03419351372020715
20,0.036152291867619105
21,0.03539547596184048
22,0.03554370353504903
23,0.033664896834569386
24,0.032221918580526795
25,0.03469926439934637
26,0.03337022432939438
27,0.03289613784491721
28,0.03149993721849284
29,0.03410362051442904
30,0.03953471436626557
31,0.037077043805148036
32,0.03470133012954259
33,0.032491602776312634
34,0.03467534211415162
35,0.035530623001569256
36,0.033021095279371276
37,0.031386958075423674
38,0.031186632499334597
39,0.03279908861340419
40,0.03412921603249909
41,0.03658291415647408
42,0.03219710299036707
43,0.03466218532769823
44,0.03358564948778936
45,0.03254759791133438
46,0.03352966626931543
47,0.036428704905689016
48,0.03615080950612552
49,0.029728473899851674
50,0.033138788724450696
51,0.03492254673742354
52,0.03298872170934625
53,0.04005457748063186
54,0.034981291818417415
55,0.037141858332366134
56,0.022608099731923122
57,0.030115255007357167
58,0.03162604890169449
59,0.03528279808288681
60,0.03427727571514387
61,0.03380162740356127
62,0.03345255722801535
63,0.029109210245720035
64,0.03574125088112416
65,0.03448413559094292
66,0.03258710701886301
67,0.03573454285263221
68,0.036234848424987656
69,0.034049642365644284
70,0.03703195540050218
71,0.035516438376236234
72,0.03254489141037743
73,0.03063901931071183
74,0.028851712476031088
75,0.034636008612523195
76,0.03786818695666842
77,0.035023773388630774
78,0.03560687841346567
