Time [ms],IShunt [A],Cell Voltage [V],Cell Temp 1 [C],Cell Temp 2 [C],Internal Resistance [mOhm]
356372,0.068,0.008,0,0,
356376,0.051,0.009,0,0,
356380,0.064,-0.002,0,0,
356384,0.04,0.002,0,0,
356388,-0.01,0.005,0,0,
356392,0.095,0.005,0,0,
356396,0.021,0.006,0,0,
356400,0.085,0.008,0,0,
356404,0.051,0.005,0,0,
356408,0.082,0.01,0,0,
356412,0.055,0.004,0,0,
356416,0.047,0.003,0,0,
356420,0.111,0.006,0,0,
356424,0.088,0.005,0,0,
356428,0.031,0.005,0,0,
356432,0.061,0.001,0,0,
356436,0.036,0.003,0,0,
356440,0.066,0.008,0,0,
356444,0.035,0.008,0,0,
356448,0.036,0.007,0,0,
356452,0.055,0.005,0,0,
356456,0.007,0,0,0,
356460,-0.026,0.007,0,0,
356464,0.002,0,0,0,
356468,0.056,0.01,0,0,
356472,0.014,0.009,0,0,
356476,-0.001,0.006,0,0,
356480,-0.017,0,0,0,
356484,-0.006,0,0,0,
356488,0.065,-0.001,0,0,
356492,0.071,0.003,0,0,
356496,0.014,0.002,0,0,
356500,0.016,0.004,0,0,
356504,0.008,-0.002,0,0,
356508,-0.027,0.008,0,0,
356512,-0.001,-0.001,0,0,
356516,0.081,0,0,0,
356520,0.098,0.003,0,0,
356524,0.028,0.004,0,0,
356528,0.036,0.008,0,0,
356532,0.065,0.007,0,0,
356536,0.056,0.008,0,0,
356540,0.105,0.006,0,0,
356544,0.083,0.004,0,0,
356548,0.046,0.005,0,0,
356552,0.015,0.005,0,0,
356556,0.033,0.004,0,0,
356560,0.016,0.002,0,0,
356564,0.054,0.006,0,0,
356568,0.021,0,0,0,
356572,0.064,0.006,0,0,
356576,0.021,0.003,0,0,
356580,0.037,0.007,0,0,
356584,0.128,0.003,0,0,
356588,0.018,0.003,0,0,
356592,0.035,0,0,0,
356596,0.036,0.002,0,0,
356600,0.053,-0.002,0,0,
356604,0.034,0.001,0,0,
356608,0.045,0.004,0,0,
356612,0.038,0.001,0,0,
356616,0.039,0.009,0,0,
356620,0.014,0.005,0,0,
356624,0.018,0.005,0,0,
356628,0.041,0.004,0,0,
356632,0.09,0.003,0,0,
356636,0.009,0.009,0,0,
356640,0.063,0.006,0,0,
356644,0.043,0.006,0,0,
356648,0.127,0.007,0,0,
356652,0.002,0.003,0,0,
356656,0.05,0.006,0,0,
356660,0.076,0.003,0,0,
356664,0.036,0.003,0,0,
356668,0.039,0.01,0,0,
356672,0.063,0.005,0,0,
356676,0.099,0.002,0,0,
356680,0.046,-0.001,0,0,
356684,0.104,0.004,0,0,
356688,0.062,0.004,0,0,
356692,0.084,0.006,0,0,
356696,0.004,-0.001,0,0,
356700,-0.017,0.007,0,0,
356704,0.038,0.007,0,0,
356708,0.032,0.007,0,0,
356712,0.018,0.007,0,0,
356716,0.045,0.01,0,0,
356720,0.046,0.005,0,0,
356724,0.019,0.006,0,0,
356728,0.049,0.004,0,0,
356732,0.036,0.006,0,0,
356736,0.046,0.01,0,0,
356740,0.052,0.001,0,0,
356744,0.014,0.004,0,0,
356748,0.071,0,0,0,
356752,0.028,0.004,0,0,
356756,0.014,0.004,0,0,
356760,0.039,0.003,0,0,
356764,0.036,0.001,0,0,
356768,-0.01,0,0,0,
356772,-0.012,0,0,0,
356776,0.003,0.005,0,0,
356780,0.088,0.006,0,0,
356784,0.069,-0.001,0,0,
356788,-0.013,0.001,0,0,
356792,0.066,0.004,0,0,
356796,0.045,0.004,0,0,
356800,0.023,0.004,0,0,
356804,0.067,0.006,0,0,
356808,0.043,0.005,0,0,
356812,-0.038,0.009,0,0,
356816,0.021,0.002,0,0,
356820,0.108,0.004,0,0,
356824,0.047,0.006,0,0,
356828,0.071,0.006,0,0,
356832,0.032,0,0,0,
356836,0.043,0.003,0,0,
356840,0.007,0.004,0,0,
356844,-0.034,0.005,0,0,
356848,0.055,0.005,0,0,
356852,0.088,0.007,0,0,
356856,0.007,0.007,0,0,
356860,-0.012,0.01,0,0,
356864,0.028,0.009,0,0,
356868,0.067,0.005,0,0,
356872,-0.008,0.014,0,0,
356876,0.018,0.012,0,0,
356880,0.049,0.009,0,0,
356884,0.015,0.004,0,0,
356888,0.014,0.006,0,0,
356892,-0.026,0.004,0,0,
356896,-0.002,0.004,0,0,
356900,0.035,0.008,0,0,
356904,-0.029,0.001,0,0,
356908,0.063,0.001,0,0,
356912,0.034,0.008,0,0,
356916,0.064,0.007,0,0,
356920,0.045,0.006,0,0,
356924,0.032,0.005,0,0,
356928,0.08,0.006,0,0,
356932,0.06,0.007,0,0,
356936,0.082,0.002,0,0,
356940,0.06,0.002,0,0,
356944,0.081,0.001,0,0,
356948,0.072,0.003,0,0,
356952,0.071,0.002,0,0,
356956,0.04,0.007,0,0,
356960,0.078,-0.005,0,0,
356964,-0.016,0.001,0,0,
356968,0.055,0.004,0,0,
356972,0.033,-0.002,0,0,
356976,0.003,0.006,0,0,
356980,0.01,0.007,0,0,
356984,0.052,0.006,0,0,
356988,0.026,0.007,0,0,
356992,0.021,0.005,0,0,
356996,0.069,0.004,0,0,
357000,0.072,0.004,0,0,
357004,0.06,0.006,0,0,
357008,0.059,0.003,0,0,
357012,0.06,0.002,0,0,
357016,0.056,0.005,0,0,
357020,0.004,0.002,0,0,
357024,-0.011,0.003,0,0,
357028,0.052,0.001,0,0,
357032,0.01,0.003,0,0,
357036,0.061,0,0,0,
357040,0.064,0.008,0,0,
357044,0.047,0,0,0,
357048,0.016,0.004,0,0,
357052,0.015,0.01,0,0,
357056,0.025,0.005,0,0,
357060,-0.012,0.003,0,0,
357064,0.026,0.006,0,0,
357068,0.078,0.002,0,0,
357072,0.027,0.001,0,0,
357076,0.071,0.008,0,0,
357080,0.002,0.005,0,0,
357084,0.028,0.014,0,0,
357088,0.037,0.005,0,0,
357092,-0.003,0.004,0,0,
357096,0.029,0.006,0,0,
357100,-0.023,0.004,0,0,
357104,0.014,0.007,0,0,
357108,0.103,0.009,0,0,
357112,0.053,0.007,0,0,
357116,0.008,0.003,0,0,
357120,0.065,0.007,0,0,
357124,0.039,0.007,0,0,
357128,0.054,0.002,0,0,
357132,0.055,0.008,0,0,
357136,0.036,0.007,0,0,
357140,0.041,0.008,0,0,
357144,0.023,0.011,0,0,
357148,0.062,0.007,0,0,
357152,-0.024,0.006,0,0,
357156,0.045,0.011,0,0,
357160,-0.01,0.005,0,0,
357164,0.003,0.001,0,0,
357168,0.046,0.009,0,0,
357172,0.023,0.005,0,0,
357176,0.009,0.003,0,0,
357180,0.051,0.004,0,0,
357184,-0.001,0.011,0,0,
357188,0.028,0.005,0,0,
357192,0.069,0.004,0,0,
357196,0.079,0.005,0,0,
357200,0.1,0.008,0,0,
357204,0.037,0.006,0,0,
357208,0.057,0.004,0,0,
357212,0.02,-0.004,0,0,
357216,0.046,-0.001,0,0,
357220,0.042,0.005,0,0,
357224,0.019,0.002,0,0,
357228,0.058,0.007,0,0,
357232,0.11,0.002,0,0,
357236,0.058,0.007,0,0,
357240,-0.001,0.011,0,0,
357244,0.046,0.006,0,0,
357248,0.071,0.011,0,0,
357252,0.014,0.007,0,0,
357256,0.038,0.006,0,0,
357260,0.038,0.008,0,0,
357264,0.029,0.005,0,0,
357268,0.034,0.003,0,0,
357272,0.061,0.01,0,0,
357276,0.025,0.007,0,0,
357280,0.04,0.008,0,0,
357284,0.03,0.001,0,0,
357288,0.045,0.004,0,0,
357292,0.015,0.008,0,0,
357296,0.05,0.008,0,0,
357300,0.037,0.006,0,0,
357304,0.026,0.006,0,0,
357308,0.055,0.005,0,0,
357312,0.023,0.004,0,0,
357316,0.019,0.004,0,0,
357320,0.046,0.003,0,0,
357324,0.063,0.004,0,0,
357328,-0.022,0.004,0,0,
357332,0.14,0.007,0,0,
357336,0.04,0.005,0,0,
357340,0.029,0.002,0,0,
357344,0.039,0.005,0,0,
357348,0.062,0.004,0,0,
357352,0.038,0.006,0,0,
357356,0.028,0.005,0,0,
357360,0.049,0,0,0,
357364,0.008,0.005,0,0,
357368,0.041,0.009,0,0,
357372,0.028,0.005,0,0,
357376,0.031,0.001,0,0,
357380,0.054,0.003,0,0,
357384,0.065,0.004,0,0,
357388,0.048,0.006,0,0,
357392,0.056,0.005,0,0,
357396,0.085,0.002,0,0,
357400,0.057,0.002,0,0,
357404,0.013,0.003,0,0,
357408,0.044,0.005,0,0,
357412,0.037,0.007,0,0,
357416,0.017,0.002,0,0,
357420,0.039,0.001,0,0,
357424,0.049,0.007,0,0,
357428,0.021,0.007,0,0,
357432,0.081,0.004,0,0,
357436,0.015,0.007,0,0,
357440,0.045,0.007,0,0,
357444,0.026,0.005,0,0,
357448,0.044,0.009,0,0,
357452,0.109,0.006,0,0,
357456,0.01,0.005,0,0,
357460,0.048,0.003,0,0,
357464,0.086,0.004,0,0,
357468,0.024,0.007,0,0,
357472,0.014,0.006,0,0,
357476,0.08,0.006,0,0,
357480,0.052,0.006,0,0,
357484,0.03,0.011,0,0,
357488,-0.028,0.002,0,0,
357492,0.001,-0.001,0,0,
357496,0.03,0.001,0,0,
357500,0.037,0.005,0,0,
357504,0.032,0.001,0,0,
357508,0.019,0.002,0,0,
357512,0.024,0.005,0,0,
357516,0.036,0.003,0,0,
357520,0.011,-0.001,0,0,
357524,0.059,0.009,0,0,
357528,0.012,0.008,0,0,
357532,-0.014,0.005,0,0,
357536,0.07,0.002,0,0,
357540,0.057,0.003,0,0,
357544,0.015,0.006,0,0,
357548,-0.004,0.006,0,0,
357552,-0.019,0.007,0,0,
357556,0.063,0.006,0,0,
357560,0.027,0.002,0,0,
357564,0.04,0.003,0,0,
357568,0.023,0.001,0,0,
357572,0.027,0,0,0,
357576,0.003,0.001,0,0,
357580,0.005,0,0,0,
357584,0.054,0,0,0,
357588,0.021,0.004,0,0,
357592,0.072,0.002,0,0,
357596,0.039,0.003,0,0,
357600,-0.01,0,0,0,
357604,0.104,0,0,0,
357608,0.065,0.007,0,0,
357612,-0.008,0.002,0,0,
357616,0.054,0.009,0,0,
357620,0.057,0.002,0,0,
357624,0.064,0.002,0,0,
357628,0.036,0.002,0,0,
357632,0.02,0.003,0,0,
357636,0.053,0.004,0,0,
357640,0.015,0.001,0,0,
357644,-0.001,0.001,0,0,
357648,0.042,0.005,0,0,
357652,-0.002,-0.002,0,0,
357656,0.026,0.001,0,0,
357660,0.025,0.003,0,0,
357664,-0.001,0.006,0,0,
357668,0.022,0.005,0,0,
357672,0.009,0.002,0,0,
357676,0.002,-0.002,0,0,
357680,-0.001,0.002,0,0,
357684,-0.032,0.005,0,0,
357688,0,0.004,0,0,
357692,0.044,0.002,0,0,
357696,0.051,0.004,0,0,
357700,0.025,0.008,0,0,
357704,0.048,0.006,0,0,
357708,0.028,0.009,0,0,
357712,0.055,0.006,0,0,
357716,-0.032,0.002,0,0,
357720,0.064,0.002,0,0,
357724,0.041,0.002,0,0,
357728,0.026,0.004,0,0,
357732,-0.016,0.006,0,0,
357736,0.032,-0.003,0,0,
357740,0.04,-0.004,0,0,
357744,0.027,-0.003,0,0,
357748,0.008,0,0,0,
357752,0.024,0.004,0,0,
357756,0.006,-0.001,0,0,
357760,0.013,-0.003,0,0,
357764,0.062,0.003,0,0,
357768,0.049,0.003,0,0,
357772,0.032,0.002,0,0,
357776,0.054,0.006,0,0,
357780,0.033,0.003,0,0,
357784,0.039,0.003,0,0,
357788,0.011,-0.001,0,0,
357792,0.026,0.009,0,0,
357796,0.023,0.002,0,0,
357800,-0.002,0.002,0,0,
357804,0.059,-0.001,0,0,
357808,0.027,0.008,0,0,
357812,0.035,0.009,0,0,
357816,-0.034,0.006,0,0,
357820,0.031,0.005,0,0,
357824,0.048,0.007,0,0,
357828,0.049,0.003,0,0,
357832,0.002,0.004,0,0,
357836,0.018,0.003,0,0,
357840,0.107,0.002,0,0,
357844,0.024,0.003,0,0,
357848,0.037,0.004,0,0,
357852,0.012,0,0,0,
357856,0.011,0.01,0,0,
357860,0.057,0.002,0,0,
357864,0.077,0.004,0,0,
357868,0.046,0.006,0,0,
357872,0.02,0.005,0,0,
357876,0.043,0.002,0,0,
357880,-0.01,0.002,0,0,
357884,0.068,0.002,0,0,
357888,0.047,-0.002,0,0,
357892,0.051,0.001,0,0,
357896,0.099,0.002,0,0,
357900,0.059,0.006,0,0,
357904,0.072,0.007,0,0,
357908,0.003,0.005,0,0,
357912,0.038,-0.002,0,0,
357916,0.034,0.005,0,0,
357920,0.095,0.006,0,0,
357924,0.016,0.004,0,0,
357928,-0.033,0.008,0,0,
357932,0.025,0.004,0,0,
357936,0.068,0.006,0,0,
357940,-0.041,0.002,0,0,
357944,0.069,0.007,0,0,
357948,0.014,0.001,0,0,
357952,0.049,0.007,0,0,
357956,0.004,0.002,0,0,
357960,0.073,0.008,0,0,
357964,0.004,0.003,0,0,
357968,-0.007,0.004,0,0,
357972,0.038,0,0,0,
357976,0.023,0.003,0,0,
357980,0.029,0.002,0,0,
357984,0.045,0,0,0,
357988,-0.025,0.007,0,0,
357992,0.033,0.003,0,0,
357996,0.049,0.005,0,0,
358000,0.023,0.009,0,0,
358004,0.053,0.002,0,0,
358008,0.023,0.004,0,0,
358012,0.04,0.008,0,0,
358016,-0.006,0.003,0,0,
358020,0.033,0.005,0,0,
358024,-0.011,0.001,0,0,
358028,0.009,0.001,0,0,
358032,0.088,0.001,0,0,
358036,0.057,0.007,0,0,
358040,0.018,0.004,0,0,
358044,0.044,0.002,0,0,
358048,0.045,0.008,0,0,
358052,0.005,0.007,0,0,
358056,-0.041,0.003,0,0,
358060,-0.002,0.006,0,0,
358064,0.03,0.008,0,0,
358068,0.052,0.003,0,0,
358072,0.014,0.006,0,0,
358076,0.007,0.003,0,0,
358080,-0.002,0.005,0,0,
358084,0.027,0.001,0,0,
358088,0.064,-0.001,0,0,
358092,0.006,0.003,0,0,
358096,0.029,0.002,0,0,
358100,0.032,0.003,0,0,
358104,0.037,0.002,0,0,
358108,0.053,-0.002,0,0,
358112,-0.024,0.004,0,0,
358116,-0.012,0.004,0,0,
358120,0.058,-0.003,0,0,
358124,-0.022,0.002,0,0,
358128,0.073,0.001,0,0,
358132,0.062,0.005,0,0,
358136,0.069,0.005,0,0,
358140,0.04,0.004,0,0,
358144,0.012,0.007,0,0,
358148,0.003,-0.001,0,0,
358152,0.035,0.004,0,0,
358156,-0.039,0.004,0,0,
358160,0.021,0.001,0,0,
358164,0.046,-0.003,0,0,
358168,0.001,0.003,0,0,
358172,0.058,0.002,0,0,
358176,0.008,-0.002,0,0,
358180,0.031,0,0,0,
358184,0.055,0.003,0,0,
358188,0.011,0,0,0,
358192,0.043,0.003,0,0,
358196,-0.014,0.002,0,0,
358200,0.092,0.002,0,0,
358204,0.053,0.002,0,0,
358208,0.048,0.001,0,0,
358212,0.03,0.002,0,0,
358216,0.04,0.006,0,0,
358220,0.076,-0.006,0,0,
358224,0.072,0.001,0,0,
358228,0.095,0.001,0,0,
358232,0.024,0,0,0,
358236,0.013,-0.001,0,0,
358240,0.03,-0.002,0,0,
358244,0.061,0.002,0,0,
358248,0.082,0.006,0,0,
358252,0.052,0,0,0,
358256,0.043,-0.001,0,0,
358260,0.04,0,0,0,
358264,0.007,-0.002,0,0,
358268,0.042,0.002,0,0,
358272,0.099,-0.001,0,0,
358276,0.082,-0.006,0,0,
358280,0.107,-0.002,0,0,
358284,0.034,-0.008,0,0,
358288,0.023,-0.001,0,0,
358292,0.009,0.001,0,0,
358296,-0.009,-0.001,0,0,
358300,0.006,0.001,0,0,
358304,0.065,-0.002,0,0,
358308,0.042,0,0,0,
358312,-0.017,0,0,0,
358316,0.103,0.005,0,0,
358320,0.031,0.002,0,0,
358324,0.037,0.002,0,0,
358328,0.073,0.003,0,0,
358332,0.06,0.01,0,0,
358336,0.035,0.005,0,0,
358340,0.011,-0.001,0,0,
358344,0.027,0.004,0,0,
358348,0.022,0.002,0,0,
358352,0.012,0.003,0,0,
358356,0.032,-0.002,0,0,
358360,0.023,0.002,0,0,
358364,0.044,0,0,0,
358368,0.007,0.002,0,0,
358372,0.051,0.004,0,0,
358376,-0.041,0.003,0,0,
358380,0.058,0.003,0,0,
358384,0.066,0.003,0,0,
358388,0.033,-0.001,0,0,
358392,0.008,0.003,0,0,
358396,-0.002,-0.007,0,0,
358400,0.031,0,0,0,
358404,0.043,0.001,0,0,
358408,0.005,0.002,0,0,
358412,0.015,0.002,0,0,
358416,-0.007,0.003,0,0,
358420,0.075,0.007,0,0,
358424,0.061,0.003,0,0,
358428,0,0.007,0,0,
358432,-0.017,0.001,0,0,
358436,0.042,0.006,0,0,
358440,0.035,0.003,0,0,
358444,0.019,0.001,0,0,
358448,0.026,-0.005,0,0,
358452,0.088,0.006,0,0,
358456,0.008,0.003,0,0,
358460,0.012,0.004,0,0,
358464,0.018,0.006,0,0,
358468,0.024,0.001,0,0,
358472,0.07,0.008,0,0,
358476,0.074,0.001,0,0,
358480,0.081,0.003,0,0,
358484,0.08,0.006,0,0,
358488,0.022,0.003,0,0,
358492,-0.002,0.004,0,0,
358496,0.077,0.005,0,0,
358500,0.039,0.003,0,0,
358504,0.042,0.003,0,0,
358508,0.018,0.007,0,0,
358512,-0.018,0.002,0,0,
358516,-0.005,-0.002,0,0,
358520,0.064,0.001,0,0,
358524,0,0.002,0,0,
358528,0.05,0.006,0,0,
358532,0.027,0.002,0,0,
358536,0.042,0,0,0,
358540,0.041,0.006,0,0,
358544,0.058,0.005,0,0,
358548,0.028,0.001,0,0,
358552,0.091,0.003,0,0,
358556,0.016,0.004,0,0,
358560,0.059,-0.002,0,0,
358564,0.019,0.001,0,0,
358568,-0.002,0.005,0,0,
358572,0.036,-0.001,0,0,
358576,0.072,0.005,0,0,
358580,0.009,0,0,0,
358584,0.06,-0.003,0,0,
358588,0.074,0.006,0,0,
358592,0.05,-0.001,0,0,
358596,0.036,0.002,0,0,
358600,0.09,-0.001,0,0,
358604,0.017,0.003,0,0,
358608,0.016,0.004,0,0,
358612,-0.046,0.004,0,0,
358616,0.064,0,0,0,
358620,-0.003,0.001,0,0,
358624,0.055,0.002,0,0,
358628,0,0.001,0,0,
358632,0.073,0.001,0,0,
358636,0.032,0.001,0,0,
358640,0.021,0.005,0,0,
358644,0.006,0.006,0,0,
358648,0.073,0.004,0,0,
358652,0.086,0,0,0,
358656,0.068,0.004,0,0,
358660,0.009,0.003,0,0,
358664,0.024,0,0,0,
358668,0.035,-0.001,0,0,
358672,0.035,0.003,0,0,
358676,0.01,-0.003,0,0,
358680,-0.016,0.003,0,0,
358684,0.055,0.002,0,0,
358688,0.038,0,0,0,
358692,0.022,0.003,0,0,
358696,0.011,0.005,0,0,
358700,0.023,0.006,0,0,
358704,0.018,0.004,0,0,
358708,0.021,0.001,0,0,
358712,0.09,0.004,0,0,
358716,0.048,-0.001,0,0,
358720,-0.004,0.005,0,0,
358724,0.014,-0.002,0,0,
358728,0.086,-0.001,0,0,
358732,0.063,0,0,0,
358736,0.019,-0.002,0,0,
358740,-0.011,0,0,0,
358744,-0.008,0.002,0,0,
358748,0.014,0.003,0,0,
358752,0.019,0.003,0,0,
358756,0.016,-0.002,0,0,
358760,0.044,0,0,0,
358764,0.094,0.002,0,0,
358768,0.02,0.004,0,0,
358772,0.032,-0.002,0,0,
358776,0.008,0.002,0,0,
358780,0.033,0,0,0,
358784,0.007,0.008,0,0,
358788,-0.02,0.004,0,0,
358792,0.003,0.003,0,0,
358796,0.052,0.001,0,0,
358800,-0.01,0.005,0,0,
358804,0.07,0.008,0,0,
358808,0.037,0.003,0,0,
358812,0.005,-0.002,0,0,
358816,0.06,0,0,0,
358820,0.036,0.001,0,0,
358824,0.077,0,0,0,
358828,0.005,0.001,0,0,
358832,0.039,-0.003,0,0,
358836,0.016,0.003,0,0,
358840,-0.005,-0.004,0,0,
358844,-0.035,0,0,0,
358848,-0.043,-0.001,0,0,
358852,0.003,0.005,0,0,
358856,0.033,-0.001,0,0,
358860,0.057,0.004,0,0,
358864,0.05,0.007,0,0,
358868,0.055,0.007,0,0,
358872,0.027,0.002,0,0,
358876,0.014,-0.002,0,0,
358880,0.035,0.001,0,0,
358884,0.074,0.001,0,0,
358888,0.047,0.005,0,0,
358892,0.037,0.003,0,0,
358896,0.037,-0.002,0,0,
358900,0.019,0.003,0,0,
358904,0.049,0.001,0,0,
358908,0.056,0.001,0,0,
358912,0.091,-0.001,0,0,
358916,0.029,0.001,0,0,
358920,0.069,-0.003,0,0,
358924,0.049,0.002,0,0,
358928,0.033,0.007,0,0,
358932,0.061,-0.004,0,0,
358936,0.022,0.003,0,0,
358940,0.067,-0.004,0,0,
358944,0.076,0.002,0,0,
358948,0.07,0.002,0,0,
358952,0.073,0.006,0,0,
358956,0.077,0.005,0,0,
358960,0.023,0.001,0,0,
358964,0.033,0.001,0,0,
358968,0.021,0,0,0,
358972,0.057,0.004,0,0,
358976,0.048,-0.002,0,0,
358980,0.077,0.004,0,0,
358984,0.02,0.006,0,0,
358988,0.09,0.006,0,0,
358992,0.014,0.008,0,0,
358996,0.061,-0.005,0,0,
359000,0.05,-0.001,0,0,
359004,-0.016,0.001,0,0,
359008,0.028,0.01,0,0,
359012,0.055,-0.003,0,0,
359016,0.031,0.003,0,0,
359020,0.041,0.004,0,0,
359024,0.012,0.003,0,0,
359028,0.071,0.004,0,0,
359032,0.081,0.001,0,0,
359036,0.05,-0.001,0,0,
359040,0.013,0.005,0,0,
359044,0.063,0.002,0,0,
359048,0.008,0.005,0,0,
359052,0.05,0.004,0,0,
359056,0.048,0.003,0,0,
359060,0.063,0.007,0,0,
359064,0.079,0.007,0,0,
359068,0.093,0.007,0,0,
359072,0.073,0,0,0,
359076,0.064,0.005,0,0,
359080,0.044,0.006,0,0,
359084,0.042,0.003,0,0,
359088,0.102,0.006,0,0,
359092,0.054,0.004,0,0,
359096,0.07,-0.002,0,0,
359100,0.033,-0.001,0,0,
359104,0.03,0,0,0,
359108,0.037,0,0,0,
359112,0.026,-0.004,0,0,
359116,0.05,0.002,0,0,
359120,0.064,-0.003,0,0,
359124,0.05,0.002,0,0,
359128,0.083,0.001,0,0,
359132,0.035,0.007,0,0,
359136,0.018,0.003,0,0,
359140,-0.014,0.002,0,0,
359144,0.081,0.006,0,0,
359148,0.013,-0.001,0,0,
359152,-0.048,0.003,0,0,
359156,0.003,0.005,0,0,
359160,-0.012,-0.001,0,0,
359164,0.043,0.004,0,0,
359168,0.002,0.002,0,0,
359172,0.054,0.005,0,0,
359176,0.09,0.008,0,0,
359180,0.053,0.002,0,0,
359184,0.023,0.002,0,0,
359188,0.015,0.006,0,0,
359192,0.063,0.001,0,0,
359196,0.045,0.005,0,0,
359200,0.05,0.009,0,0,
359204,0.065,0.007,0,0,
359208,0.038,0.005,0,0,
359212,0.029,0,0,0,
359216,0.068,0.004,0,0,
359220,0.021,0.004,0,0,
359224,0.05,0.005,0,0,
359228,0.092,0.007,0,0,
359232,0.032,0.001,0,0,
359236,0.049,0.007,0,0,
359240,0.041,0.005,0,0,
359244,0.014,-0.001,0,0,
359248,0.029,0.001,0,0,
359252,0.006,0.001,0,0,
359256,-0.001,-0.001,0,0,
359260,0.03,-0.004,0,0,
359264,0.066,0.001,0,0,
359268,0.022,0,0,0,
359272,0.054,-0.003,0,0,
359276,-0.006,0.004,0,0,
359280,0.049,0.003,0,0,
359284,0.081,0.001,0,0,
359288,0.05,0,0,0,
359292,0.017,0.001,0,0,
359296,0.029,0.003,0,0,
359300,0.06,0,0,0,
359304,0.06,0.005,0,0,
359308,0.025,-0.001,0,0,
359312,0.061,0,0,0,
359316,0.016,0.001,0,0,
359320,0.049,0.001,0,0,
359324,0.018,0.005,0,0,
359328,0.084,0.003,0,0,
359332,0.076,0.001,0,0,
359336,0.038,-0.002,0,0,
359340,0.074,0.006,0,0,
359344,0.083,0.001,0,0,
359348,0.029,0.001,0,0,
359352,0.083,-0.004,0,0,
359356,0.01,0.003,0,0,
359360,-0.047,-0.001,0,0,
359364,0.049,0.003,0,0,
359368,0.018,0,0,0,
359372,0.053,0.001,0,0,
359376,-0.022,0.002,0,0,
359380,0.065,0.002,0,0,
359384,-0.027,0.005,0,0,
359388,0.026,0.004,0,0,
359392,0.084,0.001,0,0,
359396,0.06,0.001,0,0,
359400,0.018,0.004,0,0,
359404,-0.014,0.003,0,0,
359408,0.022,0.004,0,0,
359412,0.065,0.004,0,0,
359416,0.028,0,0,0,
359420,0.08,0.004,0,0,
359424,0.075,0.001,0,0,
359428,-0.003,0,0,0,
359432,0.012,0.01,0,0,
359436,0.045,0.004,0,0,
359440,0.037,0.005,0,0,
359444,0.054,-0.001,0,0,
359448,0.101,0.006,0,0,
359452,0.057,-0.003,0,0,
359456,0.056,0.002,0,0,
359460,0.015,0.002,0,0,
359464,0.014,0.007,0,0,
359468,0.037,0.004,0,0,
359472,0.047,0.003,0,0,
359476,0.003,0.001,0,0,
359480,0.031,0.003,0,0,
359484,0.034,0,0,0,
359488,0.001,0.001,0,0,
359492,0.048,0,0,0,
359496,0.009,0.001,0,0,
359500,0.036,-0.003,0,0,
359504,0.061,0.002,0,0,
359508,-0.028,0.002,0,0,
359512,0.066,-0.006,0,0,
359516,0.044,-0.002,0,0,
359520,0.058,0.002,0,0,
359524,0.05,0.004,0,0,
359528,0.047,0.004,0,0,
359532,0.071,0,0,0,
359536,-0.003,0.005,0,0,
359540,-0.008,0.002,0,0,
359544,0.061,0,0,0,
359548,0.11,0.003,0,0,
359552,0.04,0,0,0,
359556,0.01,0.007,0,0,
359560,-0.001,0.003,0,0,
359564,0.096,0.008,0,0,
359568,0.047,0.003,0,0,
359572,0.081,0.004,0,0,
359576,0.008,0.002,0,0,
359580,0.006,-0.004,0,0,
359584,0.027,0.003,0,0,
359588,0.03,0.004,0,0,
359592,0.044,0.002,0,0,
359596,0.019,0,0,0,
359600,0.07,0.003,0,0,
359604,0.017,-0.001,0,0,
359608,0,0.003,0,0,
359612,0.015,0,0,0,
359616,0.037,0.008,0,0,
359620,-0.013,-0.004,0,0,
359624,0.042,0.001,0,0,
359628,0.031,0.004,0,0,
359632,0.07,0.002,0,0,
359636,0.061,0.001,0,0,
359640,0.011,0,0,0,
359644,0.057,0.002,0,0,
359648,0.044,-0.001,0,0,
359652,0.051,0,0,0,
359656,0.05,0.003,0,0,
359660,0.032,0.004,0,0,
359664,0.056,-0.003,0,0,
359668,0.092,0,0,0,
359672,0.073,0.003,0,0,
359676,0.047,0,0,0,
359680,0.031,0.001,0,0,
359684,0.033,0.002,0,0,
359688,0.053,0.005,0,0,
359692,0.051,0.003,0,0,
359696,0.076,0.004,0,0,
359700,0.073,0.002,0,0,
359704,0.045,0.003,0,0,
359708,0.045,0,0,0,
359712,-0.01,0.003,0,0,
359716,0.075,0.002,0,0,
359720,0.077,-0.001,0,0,
359724,0.032,-0.003,0,0,
359728,0.083,0.003,0,0,
359732,0.115,0.003,0,0,
359736,0.068,0.003,0,0,
359740,0.094,0.003,0,0,
359744,0.032,0.005,0,0,
359748,0.069,-0.001,0,0,
359752,0.087,0.005,0,0,
359756,0.06,0.001,0,0,
359760,0.038,0.002,0,0,
359764,0.078,0.002,0,0,
359768,0.056,0.004,0,0,
359772,0.032,-0.002,0,0,
359776,0.095,0.003,0,0,
359780,0.086,0.009,0,0,
359784,0.029,0.001,0,0,
359788,0.034,0.004,0,0,
359792,0.02,0.004,0,0,
359796,0.067,0.005,0,0,
359800,0.021,0.003,0,0,
359804,0.053,0,0,0,
359808,0.091,0.003,0,0,
359812,0.086,0.008,0,0,
359816,0.085,-0.003,0,0,
359820,0.056,0.006,0,0,
359824,0.048,0.005,0,0,
359828,0.003,0.006,0,0,
359832,0.075,0.006,0,0,
359836,0.063,0.002,0,0,
